Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,19925.900391,20059.500000,19911.599609,20055.599609,20055.599609,197427000
2023-06-07,20068.699219,20150.000000,19955.599609,19983.699219,19983.699219,200207800
2023-06-08,19994.800781,19996.300781,19855.300781,19942.699219,19942.699219,185562900
2023-06-09,19940.000000,19976.099609,19857.400391,19892.099609,19892.099609,162962100
2023-06-12,19862.599609,19933.599609,19805.900391,19921.300781,19921.300781,212148400
2023-06-13,19998.300781,20099.199219,19975.900391,19990.400391,19990.400391,205098400
2023-06-14,20027.800781,20098.500000,19930.300781,20015.099609,20015.099609,212250000
2023-06-15,19986.099609,20057.400391,19952.199219,20027.400391,20027.400391,199331900
2023-06-16,20057.300781,20112.400391,19973.199219,19975.400391,19975.400391,499628700
2023-06-19,19983.699219,19985.199219,19917.599609,19934.199219,19934.199219,51027700
2023-06-20,19881.900391,19881.900391,19739.800781,19754.099609,19754.099609,234693800
2023-06-21,19718.599609,19761.699219,19656.099609,19706.000000,19706.000000,222469800
2023-06-22,19638.500000,19638.500000,19545.599609,19580.900391,19580.900391,213520500
2023-06-23,19511.400391,19511.400391,19406.500000,19418.199219,19418.199219,205268400
2023-06-26,19400.699219,19630.500000,19400.699219,19587.300781,19587.300781,207613200
2023-06-27,19606.699219,19757.400391,19579.099609,19733.099609,19733.099609,177727100
2023-06-28,19749.400391,19818.900391,19706.500000,19818.900391,19818.900391,180146900
2023-06-29,19820.300781,19914.500000,19790.400391,19913.199219,19913.199219,173336900
2023-06-30,19973.400391,20178.800781,19973.400391,20155.300781,20155.300781,220958700
2023-07-04,20180.300781,20227.699219,20176.599609,20204.900391,20204.900391,71685700
2023-07-05,20177.800781,20177.800781,20086.199219,20103.900391,20103.900391,190949600
2023-07-06,20006.099609,20006.099609,19757.599609,19810.699219,19810.699219,215164300
2023-07-07,19740.800781,19911.300781,19719.599609,19831.000000,19831.000000,203482400
2023-07-10,19820.699219,19863.300781,19798.800781,19822.500000,19822.500000,186459900
